number,name,region,dong_id
529,앤유(NUPC),대구광역시 달서구 상인동,3
530,갤러리PC방,대구광역시 수성구 수성동,6
531,G1 PC,대구광역시 서구 비산동,3
532,비원PC,대구광역시 북구 칠성동,5
533,매드PC방,대구광역시 달서구 진천동,3
534,노블레스PCcafe,대구광역시 남구 대명동,4
535,PC방 일번지,대구광역시 동구 동호동,2
536,제이와이,대구광역시 달서구 죽전동,3
537,현 pc zone,대구광역시 동구 용계동,2
538,수퍼(super) PC방,대구광역시 달서구 송현동,3
539,스팀,대구광역시 북구 노원동,5
540,라임PC방,대구광역시 달성군 화원읍,8
541,아크피시방,대구광역시 서구 원대동,3
542,Moon PC,대구광역시 서구 내당동,3
543,어뮤즈,대구광역시 동구 방촌동,2
544,큐PC,대구광역시 수성구 지산동,6
545,엔유피씨카페 동대구점,대구광역시 동구 신천동,2
546,이노스페이스 방촌점,대구광역시 동구 방촌동,2
547,팽PC방,대구광역시 남구 대명동,4
548,카카오PC방,대구광역시 수성구 수성동,6
549,욜로PC방 대구직영2호점,대구광역시 동구 효목동,2
550,이런PC하우스,대구광역시 동구 신암동,2
551,이너스PC존,대구광역시 동구 지저동,2
552,헬로PC,대구광역시 달성군 화원읍,8
553,팽피시카페 신기점,대구광역시 동구 신기동,2
554,티티피씨(TTPC)지산점,대구광역시 수성구 지산동,6
555,팽피시카페중동점,대구광역시 수성구 중동,6
556,올스타(ALL STAR)PC방,대구광역시 수성구 만촌동,6
557,그린타임,대구광역시 북구 침산동,5
558,앤유PC방,대구광역시 달서구 이곡동,3
559,이노,대구광역시 동구 신암동,2
560,에이스PC방,대구광역시 동구 신천동,2
561,엑스존 효목점,대구광역시 동구 효목동,2
562,수PC방,대구광역시 동구 입석동,2
563,앤유PC방,대구광역시 수성구 만촌동,6
564,밴드(BAND)PC방,대구광역시 수성구 만촌동,6
565,피슐랭 PC,대구광역시 달성군 화원읍,8
566,쿡몬스터PC,대구광역시 북구 복현동,5
567,레몬,대구광역시 수성구 사월동,6
568,스피드킹PC방,대구광역시 동구 신암동,2
569,바글바글PC방,대구광역시 달서구 파호동,3
570,웰컴PC방,대구광역시 동구 신천동,2
571,와써PC방,대구광역시 달서구 용산동,3
572,루호복현점,대구광역시 북구 복현동,5
573,예카스테이션PC방,대구광역시 수성구 신매동,6
574,더존PC,대구광역시 북구 태전동,5
575,준,대구광역시 북구 침산동,5
576,애플PC방,대구광역시 수성구 만촌동,6
577,이즈리얼PC,대구광역시 수성구 지산동,6
578,비타민PC,대구광역시 북구 복현동,5
579,겜,대구광역시 북구 읍내동,5
580,킹콩PC방,대구광역시 달성군 논공읍,8
